City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Pangkalanbuun,ID,76.19,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
81,Bukavu,CD,72.28,light rain,-2.5083,28.8608,Horizon Hotel
85,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
87,Salinopolis,BR,79.5,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
91,Bambous Virieux,MU,71.85,moderate rain,-20.3428,57.7575,Casa Tia Villa
92,Faya,SA,89.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
93,Kantang,TH,80.69,light rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
97,Bredasdorp,ZA,74.39,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
99,Komsomolskiy,UZ,86.72,overcast clouds,40.4272,71.7189,Ikathouse
100,Neiafu,TO,79.99,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
102,Anloga,GH,81.97,overcast clouds,5.7947,0.8973,Pin Drop Hotel
105,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
106,Muros,ES,75.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
108,Espinosa,BR,71.65,overcast clouds,-14.9261,-42.8192,Hotel Vilma
109,Krasyliv,UA,70.59,broken clouds,49.6519,26.9725,Paradis
114,Hovd,MN,83.35,scattered clouds,48.0056,91.6419,Hotel Khovd
115,Ankang,CN,79.79,broken clouds,32.68,109.0172,安琪酒店
116,Sao Miguel Do Tapuio,BR,78.1,overcast clouds,-5.5036,-41.3233,Hotel Tropical
119,Kapaa,US,75.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Saint-Max,FR,79.38,broken clouds,48.7043,6.21,Hôtel Mercure Nancy Centre Place Stanislas
121,Krasnoselkup,RU,79.77,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
122,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
123,Georgetown,MY,85.95,scattered clouds,5.4112,100.3354,Cititel Penang
128,Betioky,MG,84.58,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
129,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
130,Port Alfred,ZA,83.17,broken clouds,-33.5906,26.891,The Halyards Hotel
131,Faanui,PF,79.7,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Makakilo City,US,75.56,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
