City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Port Alfred,ZA,-33.5906,26.891,83.17,22,73,8.99,broken clouds
131,Faanui,PF,-16.4833,-151.75,79.7,76,18,17.63,light rain
132,Torbay,CA,47.6666,-52.7314,59.77,79,75,12.66,broken clouds
133,Katsuura,JP,35.1333,140.3,66.33,85,33,3.49,scattered clouds
134,Kodiak,US,57.79,-152.4072,45.91,81,0,4.61,clear sky
135,Urumqi,CN,43.801,87.6005,97.75,10,20,8.95,few clouds
136,Makakilo City,US,21.3469,-158.0858,75.56,74,0,11.5,light intensity drizzle
137,Ahuimanu,US,21.4447,-157.8378,76.75,78,75,13.8,broken clouds
138,Huanuco,PE,-9.9329,-76.2415,57.06,89,87,1.97,overcast clouds
139,Severnyy,RU,50.677,36.5532,66.24,82,75,8.95,broken clouds
140,Neuquen,AR,-38.9516,-68.0591,30.09,100,0,4.61,clear sky
141,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,40,19.28,scattered clouds
142,Chuy,UY,-33.6971,-53.4616,44.4,89,10,9.22,clear sky
143,Saint-Pierre,RE,-21.3393,55.4781,76.91,65,20,27.63,few clouds
144,Horten,NO,59.4155,10.4853,64.9,71,0,19.57,light rain
145,Tuktoyaktuk,CA,69.4541,-133.0374,32.94,96,100,9.6,overcast clouds
146,Castro,BR,-24.7911,-50.0119,37.38,60,81,3.42,broken clouds
147,Vardo,NO,70.3705,31.1107,62.58,67,100,17.27,overcast clouds
148,Kemi,FI,65.8596,24.8228,58.77,77,0,14.97,clear sky
149,Waynesboro,US,38.0685,-78.8895,63.18,97,100,5.75,moderate rain
150,Russell,US,32.3502,-85.1999,73.0,100,75,0.0,broken clouds
151,Ilulissat,GL,69.2167,-51.1,35.62,87,100,10.36,overcast clouds
152,Talcahuano,CL,-36.7167,-73.1167,47.88,81,100,4.61,overcast clouds
153,Champerico,GT,14.3,-91.9167,76.35,84,99,6.15,overcast clouds
154,Garbolovo,RU,60.3413,30.4955,64.94,62,100,7.23,overcast clouds
155,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,88,75,12.66,broken clouds
156,San Ignacio,BZ,17.1561,-89.0714,71.74,94,0,0.0,clear sky
157,Kozhevnikovo,RU,56.2589,83.9714,69.15,64,46,6.8,scattered clouds
158,Leningradskiy,RU,69.3833,178.4167,35.64,70,52,7.83,broken clouds
159,Guerrero,MX,17.6667,-100.0,65.57,89,100,2.01,overcast clouds
160,Porbandar,IN,21.6422,69.6093,88.34,63,91,11.16,overcast clouds
161,Madang,PG,-5.2246,145.7966,78.62,85,61,3.51,broken clouds
162,Cabras,IT,39.93,8.5314,82.98,37,0,10.69,clear sky
163,Saint Anthony,US,45.0205,-93.218,63.66,83,100,11.5,overcast clouds
164,Quatre Cocos,MU,-20.2078,57.7625,71.71,84,91,18.57,moderate rain
