City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
414,Sorong,29,ID,2022-06-11 14:41:11,75,-0.8833,131.25,82.0,10.78
415,Ravar,0,IR,2022-06-11 14:41:11,9,31.2656,56.8055,92.44,12.44
416,Maroantsetra,51,MG,2022-06-11 14:41:12,86,-15.4333,49.7333,71.6,9.89
417,Banda Aceh,83,ID,2022-06-11 14:41:13,78,5.5577,95.3222,80.47,9.04
418,Brawley,0,US,2022-06-11 14:41:13,57,32.9787,-115.5303,91.62,3.44
419,Qaqortoq,100,GL,2022-06-11 14:41:13,71,60.7167,-46.0333,43.9,7.18
420,Mahibadhoo,44,MV,2022-06-11 14:41:14,76,3.7833,72.9667,82.47,8.75
421,Fortuna,100,US,2022-06-11 14:37:54,94,40.5982,-124.1573,64.92,0.0
422,Guerrero Negro,13,MX,2022-06-11 14:41:14,71,27.9769,-114.0611,68.65,10.33
423,Chabahar,2,IR,2022-06-11 14:41:15,83,25.2919,60.643,84.29,15.08
424,Bathsheba,75,BB,2022-06-11 14:41:15,74,13.2167,-59.5167,84.81,23.02
425,Shirokiy,4,RU,2022-06-11 14:41:15,74,49.758,129.523,58.77,2.75
426,Xiuyan,46,CN,2022-06-11 14:41:16,88,40.2928,123.2744,60.21,3.13
427,Ketchikan,75,US,2022-06-11 14:41:16,87,55.3422,-131.6461,50.47,13.8
428,Rincon,75,US,2022-06-11 14:41:17,76,32.296,-81.2354,85.91,1.01
429,La Ronge,100,CA,2022-06-11 14:41:17,94,55.1001,-105.2842,53.85,9.22
430,Kahului,0,US,2022-06-11 14:41:17,82,20.8947,-156.47,75.85,10.36
431,Pathein,55,MM,2022-06-11 14:41:18,84,16.7833,94.7333,79.7,5.21
432,Monrovia,100,LR,2022-06-11 14:41:18,72,6.3005,-10.7969,81.93,8.79
433,Kavieng,7,PG,2022-06-11 14:41:18,71,-2.5744,150.7967,81.95,12.64
434,Harper,100,LR,2022-06-11 14:41:19,90,4.375,-7.7169,76.14,7.65
435,Porto Torres,0,IT,2022-06-11 14:41:19,50,40.835,8.3972,86.18,11.77
436,Blacksburg,100,US,2022-06-11 14:41:04,71,37.2296,-80.4139,70.72,0.0
437,Richards Bay,0,ZA,2022-06-11 14:41:19,72,-28.783,32.0377,68.59,10.89
438,Manakara,8,MG,2022-06-11 14:41:20,88,-22.1333,48.0167,67.8,4.63
439,Enshi,100,CN,2022-06-11 14:39:09,91,30.3,109.4833,66.07,3.42
440,Adrar,23,MR,2022-06-11 14:41:20,7,20.5022,-10.0711,109.71,5.46
